ID;canonicalsmiles;xlogp;polararea
44383739;CC(C)CC(C(CC(=O)NC(C)C(=O)NC(CC(C)C)C(=O)OC)O)NC(=O)C(C(C)C)NC(=O)CC(C)C;3.300;163000
44384508;CC(C)CC(C(CC(=O)NC(C)C(=O)NCC(=O)OC)O)NC(=O)C(C(C)C)NC(=O)CC(C)C;1.600;163000
3080676;CC(C)CC(C(CC(=O)N(C(=O)C(C)NC(CC(C)C)C(CC(=O)O)O)C(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C)O)N;-0.800;229000
10350569;CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C(C)C)C(=O)NCC(=O)NC(C)C(=O)NC(C(C)O)C(=O)NC(CCCCN)C(=O)O)NC(=O)C(C)N;-2.700;342000
56671665;CCC(C)C(C(=O)NC(CC(C)C)C(CC(=O)NC(CCC(=O)N)C(=O)NC(CO)C(=O)O)O)NC(=O)C(C(C)C)NC(=O)C(CCC(=O)N)N;-4.700;336000
90663544;CC(C)CC(C(CC(=O)NC(C)C(=O)OC)O)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C;2.900;163000
118725177;CC(C)CC(C(CC(=O)NC(C)C(=O)NC(CC(C)C)C(=O)OC)O)NC(=O)C(C(C)C)NC(=O)CC(C)C;3.300;163000
155525722;CC(C)CC(C(CC(=O)NC(C)C(=O)NC(CC(C)C)C(CC(=O)O)O)O)NC(=O)CC(C)C;1.600;165000
155561692;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C;2.900;145000
155568332;CC(C)CC(C(CC(=O)NC(C)C(=O)O)O)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C;2.600;174000
4742;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;3.000;223000
72818718;CCCCCCCCC1C(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)O1)C(C)O)CO)C(C)CC)CC(C)C)C)C;5.000;204000
194361;CC(C)CC(C(CC(=O)NC(C)C(=O)NC(CC(C)C)C(CC(=O)NC(CC(=O)O)C(=O)O)O)O)NC(C(C)C)C(=O)NC(=O)C(C(C)C)NC(=O)CC(C)C;-0.400;290000
5480836;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(C)O)O;1.500;244000
196250;CC(C)CC(C(CC(=O)NCC(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;-0.900;363000
166640006;CCCCCCC1C(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)O1)C(C)O)CO)C(C)CC)CC(C)C)C)C;3.900;204000
168013666;CCCCCCC1C(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)O1)C(C)O)CO)C(C)CC)CC(C)C)C)C;3.900;204000
